C1		バックグラウンド		理論プロファイル	
2θ(°)	強度(Counts)	2θ(°)	強度(Counts)	2θ(°)	強度(Counts)
0.572	1607373	0.572	1.786711E-05	0.572	1341403
0.574	1603876	0.574	1.786711E-05	0.574	1338377
0.576	1613924	0.576	1.786711E-05	0.576	1335316
0.578	1623501	0.578	1.786711E-05	0.578	1332221
0.58	1631627	0.58	1.786711E-05	0.58	1329090
0.582	1618270	0.582	1.786711E-05	0.582	1325923
0.584	1622397	0.584	1.786711E-05	0.584	1322719
0.586	1559793	0.586	1.786711E-05	0.586	1319476
0.588	1618308	0.588	1.786711E-05	0.588	1316195
0.59	1602647	0.59	1.786711E-05	0.59	1312875
0.592	1621410	0.592	1.786711E-05	0.592	1309514
0.594	1613004	0.594	1.786711E-05	0.594	1306111
0.596	1569445	0.596	1.786711E-05	0.596	1302666
0.598	1587365	0.598	1.786711E-05	0.598	1299178
0.6	1585346	0.6	1.786711E-05	0.6	1295645
0.602	1551683	0.602	1.786711E-05	0.602	1292066
0.604	1572954	0.604	1.786711E-05	0.604	1288442
0.606	1553231	0.606	1.786711E-05	0.606	1284769
0.608	1586373	0.608	1.786711E-05	0.608	1281047
0.61	1567887	0.61	1.786711E-05	0.61	1277276
0.612	1569378	0.612	1.786711E-05	0.612	1273453
0.614	1635366	0.614	1.786711E-05	0.614	1269577
0.616	1618713	0.616	1.786711E-05	0.616	1265648
0.618	1615385	0.618	1.786711E-05	0.618	1261663
0.62	1641261	0.62	1.786711E-05	0.62	1257621
0.622	1609227	0.622	1.786711E-05	0.622	1253521
0.624	1609375	0.624	1.786711E-05	0.624	1249362
0.626	1620971	0.626	1.786711E-05	0.626	1245141
0.628	1617680	0.628	1.786711E-05	0.628	1240857
0.63	1581934	0.63	1.786711E-05	0.63	1236509
0.632	1591744	0.632	1.786711E-05	0.632	1232094
0.634	1550897	0.634	1.786711E-05	0.634	1227611
0.636	1641738	0.636	1.786711E-05	0.636	1223059
0.638	1561841	0.638	1.786711E-05	0.638	1218434
0.64	1591367	0.64	1.786711E-05	0.64	1213736
0.642	1556995	0.642	1.786711E-05	0.642	1208962
0.644	1612077	0.644	1.786711E-05	0.644	1204110
0.646	1577047	0.646	1.786711E-05	0.646	1199178
0.648	1611393	0.648	1.786711E-05	0.648	1194163
0.65	1557298	0.65	1.786711E-05	0.65	1189064
0.652	1560659	0.652	1.786711E-05	0.652	1183878
0.654	1546085	0.654	1.786711E-05	0.654	1178603
0.656	1577935	0.656	1.786711E-05	0.656	1173236
0.658	1526549	0.658	1.786711E-05	0.658	1167774
0.66	1545959	0.66	1.786711E-05	0.66	1162215
0.662	1529611	0.662	1.786711E-05	0.662	1156556
0.664	1516341	0.664	1.786711E-05	0.664	1150794
0.666	1591370	0.666	1.786711E-05	0.666	1144926
0.668	1551081	0.668	1.786711E-05	0.668	1138949
0.67	1469828	0.67	1.786711E-05	0.67	1132859
0.672	1506538	0.672	1.786711E-05	0.672	1126655
0.674	1526395	0.674	1.786711E-05	0.674	1120331
0.676	1505168	0.676	1.786711E-05	0.676	1113885
0.678	1508085	0.678	1.786711E-05	0.678	1107313
0.68	1527050	0.68	1.786711E-05	0.68	1100612
0.682	1531481	0.682	1.786711E-05	0.682	1093778
0.684	1478890	0.684	1.786711E-05	0.684	1086807
0.686	1466017	0.686	1.786711E-05	0.686	1079695
0.688	1429739	0.688	1.786711E-05	0.688	1072437
0.69	1444862	0.69	1.786711E-05	0.69	1065032
0.692	1449196	0.692	1.786711E-05	0.692	1057473
0.694	1437309	0.694	1.786711E-05	0.694	1049757
0.696	1430834	0.696	1.786711E-05	0.696	1041879
0.698	1388515	0.698	1.786711E-05	0.698	1033837
0.7	1387682	0.7	1.786711E-05	0.7	1025625
0.702	1447981	0.702	1.786711E-05	0.702	1017239
0.704	1410549	0.704	1.786711E-05	0.704	1008676
0.706	1388689	0.706	1.786711E-05	0.706	999931.2
0.708	1367891	0.708	1.786711E-05	0.708	991001
0.71	1332757	0.71	1.786711E-05	0.71	981881.8
0.712	1361200	0.712	1.786711E-05	0.712	972570.1
0.714	1335126	0.714	1.786711E-05	0.714	963062.6
0.716	1328905	0.716	1.786711E-05	0.716	953356.6
0.718	1294655	0.718	1.786711E-05	0.718	943449.3
0.72	1281999	0.72	1.786711E-05	0.72	933338.7
0.722	1274129	0.722	1.786711E-05	0.722	923023
0.724	1272017	0.724	1.786711E-05	0.724	912500.9
0.726	1255709	0.726	1.786711E-05	0.726	901772
0.728	1233754	0.728	1.786711E-05	0.728	890836
0.73	1220068	0.73	1.786711E-05	0.73	879693.8
0.732	1201727	0.732	1.786711E-05	0.732	868346.6
0.734	1180660	0.734	1.786711E-05	0.734	856796.8
0.736	1191718	0.736	1.786711E-05	0.736	845047.5
0.738	1128366	0.738	1.786711E-05	0.738	833102.7
0.74	1135142	0.74	1.786711E-05	0.74	820967.3
0.742	1129190	0.742	1.786711E-05	0.742	808647.4
0.744	1108504	0.744	1.786711E-05	0.744	796150
0.746	1093869	0.746	1.786711E-05	0.746	783483.1
0.748	1058558	0.748	1.786711E-05	0.748	770655.9
0.75	1047209	0.75	1.786711E-05	0.75	757678.6
0.752	1031266	0.752	1.786711E-05	0.752	744562.4
0.754	991496.3	0.754	1.786711E-05	0.754	731319.7
0.756	990993.1	0.756	1.786711E-05	0.756	717963.7
0.758	938799.8	0.758	1.786711E-05	0.758	704508.6
0.76	948632.3	0.76	1.786711E-05	0.76	690969.5
0.762	918095.8	0.762	1.786711E-05	0.762	677362.3
0.764	879988.3	0.764	1.786711E-05	0.764	663703.4
0.766	884537.6	0.766	1.786711E-05	0.766	650010.2
0.768	892172	0.768	1.786711E-05	0.768	636300.2
0.77	823244.7	0.77	1.786711E-05	0.77	622591.4
0.772	847848.9	0.772	1.786711E-05	0.772	608901.9
0.774	812535.8	0.774	1.786711E-05	0.774	595250.3
0.776	801610.2	0.776	1.786711E-05	0.776	581654.7
0.778	755837.7	0.778	1.786711E-05	0.778	568133.2
0.78	726454.6	0.78	1.786711E-05	0.78	554703.6
0.782	750800.9	0.782	1.786711E-05	0.782	541383.4
0.784	699374.3	0.784	1.786711E-05	0.784	528189.2
0.786	686583.6	0.786	1.786711E-05	0.786	515137.3
0.788	663998.7	0.788	1.786711E-05	0.788	502242.8
0.79	632532.9	0.79	1.786711E-05	0.79	489520.5
0.792	633575.3	0.792	1.786711E-05	0.792	476983.7
0.794	601247.8	0.794	1.786711E-05	0.794	464645
0.796	610884.6	0.796	1.786711E-05	0.796	452515.7
0.798	590515.7	0.798	1.786711E-05	0.798	440606.2
0.8	553339.6	0.8	1.786711E-05	0.8	428925.6
0.802	547652.7	0.802	1.786711E-05	0.802	417481.9
0.804	527606.3	0.804	1.786711E-05	0.804	406281.9
0.806	507945.6	0.806	1.786711E-05	0.806	395331.3
0.808	505182	0.808	1.786711E-05	0.808	384634.5
0.81	494720.5	0.81	1.786711E-05	0.81	374194.9
0.812	474990.1	0.812	1.786711E-05	0.812	364014.9
0.814	460897	0.814	1.786711E-05	0.814	354095.8
0.816	441238.5	0.816	1.786711E-05	0.816	344437.7
0.818	460359.9	0.818	1.786711E-05	0.818	335040.2
0.82	429097.1	0.82	1.786711E-05	0.82	325901.7
0.822	400269.1	0.822	1.786711E-05	0.822	317020
0.824	413306	0.824	1.786711E-05	0.824	308392.1
0.826	402086.5	0.826	1.786711E-05	0.826	300014.5
0.828	392482.4	0.828	1.786711E-05	0.828	291883
0.83	368624.6	0.83	1.786711E-05	0.83	283993
0.832	372551.2	0.832	1.786711E-05	0.832	276339.5
0.834	359134.7	0.834	1.786711E-05	0.834	268917.2
0.836	361381.3	0.836	1.786711E-05	0.836	261720.6
0.838	332949.8	0.838	1.786711E-05	0.838	254743.9
0.84	327852.8	0.84	1.786711E-05	0.84	247981.5
0.842	333393.1	0.842	1.786711E-05	0.842	241427.3
0.844	316238.2	0.844	1.786711E-05	0.844	235075.8
0.846	317737.4	0.846	1.786711E-05	0.846	228921
0.848	314570	0.848	1.786711E-05	0.848	222957.3
0.85	300204.8	0.85	1.786711E-05	0.85	217179.2
0.852	287226.6	0.852	1.786711E-05	0.852	211581.2
0.854	285868.2	0.854	1.786711E-05	0.854	206157.9
0.856	274626.3	0.856	1.786711E-05	0.856	200904.3
0.858	275111	0.858	1.786711E-05	0.858	195815.1
0.86	260568.2	0.86	1.786711E-05	0.86	190885.3
0.862	267149.8	0.862	1.786711E-05	0.862	186110.1
0.864	252584.6	0.864	1.786711E-05	0.864	181484.4
0.866	248659.1	0.866	1.786711E-05	0.866	177003.4
0.868	234054.9	0.868	1.786711E-05	0.868	172662.1
0.87	233585.8	0.87	1.786711E-05	0.87	168455.6
0.872	224788.9	0.872	1.786711E-05	0.872	164379
0.874	225830.8	0.874	1.786711E-05	0.874	160427.3
0.876	217750	0.876	1.786711E-05	0.876	156595.5
0.878	213376.2	0.878	1.786711E-05	0.878	152878.7
0.88	206507.7	0.88	1.786711E-05	0.88	149272
0.882	206268.6	0.882	1.786711E-05	0.882	145770.6
0.884	197303.7	0.884	1.786711E-05	0.884	142369.8
0.886	197565.5	0.886	1.786711E-05	0.886	139065.1
0.888	189535.7	0.888	1.786711E-05	0.888	135852.2
0.89	185531.9	0.89	1.786711E-05	0.89	132727.2
0.892	187355.8	0.892	1.786711E-05	0.892	129686.2
0.894	180360.8	0.894	1.786711E-05	0.894	126726
0.896	174482	0.896	1.786711E-05	0.896	123843.5
0.898	171450.6	0.898	1.786711E-05	0.898	121036.2
0.9	164808.8	0.9	1.786711E-05	0.9	118301.7
0.902	167573.7	0.902	1.786711E-05	0.902	115638.2
0.904	158843.1	0.904	1.786711E-05	0.904	113044.1
0.906	156976.2	0.906	1.786711E-05	0.906	110518.1
0.908	157859.2	0.908	1.786711E-05	0.908	108059.3
0.91	150377.1	0.91	1.786711E-05	0.91	105666.8
0.912	150950.4	0.912	1.786711E-05	0.912	103339.8
0.914	145611	0.914	1.786711E-05	0.914	101077.6
0.916	145203.7	0.916	1.786711E-05	0.916	98879.5
0.918	140031.9	0.918	1.786711E-05	0.918	96744.68
0.92	136417.3	0.92	1.786711E-05	0.92	94672.11
0.922	133003.5	0.922	1.786711E-05	0.922	92660.57
0.924	131681.6	0.924	1.786711E-05	0.924	90708.59
0.926	125988.4	0.926	1.786711E-05	0.926	88814.41
0.928	126620	0.928	1.786711E-05	0.928	86976.01
0.93	126217.7	0.93	1.786711E-05	0.93	85191.04
0.932	124714.7	0.932	1.786711E-05	0.932	83456.92
0.934	118019	0.934	1.786711E-05	0.934	81770.85
0.936	118369.4	0.936	1.786711E-05	0.936	80129.85
0.938	111791.6	0.938	1.786711E-05	0.938	78530.84
0.94	114537.3	0.94	1.786711E-05	0.94	76970.73
0.942	107799.5	0.942	1.786711E-05	0.942	75446.43
0.944	109581.2	0.944	1.786711E-05	0.944	73955.02
0.946	105322.7	0.946	1.786711E-05	0.946	72493.75
0.948	98840.7	0.948	1.786711E-05	0.948	71060.17
0.95	99409.7	0.95	1.786711E-05	0.95	69652.16
0.952	95512.1	0.952	1.786711E-05	0.952	68267.98
0.954	91426.9	0.954	1.786711E-05	0.954	66906.34
0.956	91464.3	0.956	1.786711E-05	0.956	65566.36
0.958	91325.5	0.958	1.786711E-05	0.958	64247.64
0.96	89853.5	0.96	1.786711E-05	0.96	62950.21
0.962	88659.1	0.962	1.786711E-05	0.962	61674.51
0.964	84747.5	0.964	1.786711E-05	0.964	60421.32
0.966	84070.3	0.966	1.786711E-05	0.966	59191.73
0.968	84472.4	0.968	1.786711E-05	0.968	57987.05
0.97	82002	0.97	1.786711E-05	0.97	56808.74
0.972	81758.1	0.972	1.786711E-05	0.972	55658.31
0.974	81919.3	0.974	1.786711E-05	0.974	54537.22
0.976	77321	0.976	1.786711E-05	0.976	53446.83
0.978	78834	0.978	1.786711E-05	0.978	52388.29
0.98	74824.6	0.98	1.786711E-05	0.98	51362.45
0.982	75117.5	0.982	1.786711E-05	0.982	50369.85
0.984	75609.5	0.984	1.786711E-05	0.984	49410.61
0.986	71287.3	0.986	1.786711E-05	0.986	48484.46
0.988	70618.5	0.988	1.786711E-05	0.988	47590.65
0.99	68966	0.99	1.786711E-05	0.99	46728.04
0.992	67073	0.992	1.786711E-05	0.992	45895.04
0.994	65730.7	0.994	1.786711E-05	0.994	45089.68
0.996	63337	0.996	1.786711E-05	0.996	44309.68
0.998	63500.7	0.998	1.786711E-05	0.998	43552.49
1	60169.3	1	1.786711E-05	1	42815.35
1.002	61428.8	1.002	1.786711E-05	1.002	42095.41
1.004	56856.6	1.004	1.786711E-05	1.004	41389.8
1.006	56960.6	1.006	1.786711E-05	1.006	40695.72
1.008	56174.5	1.008	1.786711E-05	1.008	40010.53
1.01	53593.1	1.01	1.786711E-05	1.01	39331.81
1.012	53711.4	1.012	1.786711E-05	1.012	38657.47
1.014	51829.6	1.014	1.786711E-05	1.014	37985.79
1.016	51763.1	1.016	1.786711E-05	1.016	37315.47
1.018	52472.2	1.018	1.786711E-05	1.018	36645.66
1.02	50604.9	1.02	1.786711E-05	1.02	35976.01
1.022	51475.3	1.022	1.786711E-05	1.022	35306.63
1.024	49239.8	1.024	1.786711E-05	1.024	34638.07
1.026	49367.6	1.026	1.786711E-05	1.026	33971.36
1.028	48007.4	1.028	1.786711E-05	1.028	33307.89
1.03	46244.7	1.03	1.786711E-05	1.03	32649.37
1.032	47155.5	1.032	1.786711E-05	1.032	31997.78
1.034	46854.1	1.034	1.786711E-05	1.034	31355.29
1.036	46714.9	1.036	1.786711E-05	1.036	30724.14
1.038	42972.3	1.038	1.786711E-05	1.038	30106.62
1.04	43271.8	1.04	1.786711E-05	1.04	29504.9
1.042	43898.8	1.042	1.786711E-05	1.042	28921.04
1.044	42411.3	1.044	1.786711E-05	1.044	28356.84
1.046	40540.6	1.046	1.786711E-05	1.046	27813.8
