,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.532,2077777,,0.532,8744414,,0.532,468313.6,,0.532,2018888.2,,1034678.6,370131.9,1101061.1,36933,2305516.8,2496193.8
0.536,2085400.9,,0.536,8627866,,0.536,468570.5,,0.536,2005420,,1030589.1,371519.7,1106914,32007.8,2293526.5,2474315
0.54,2086068,,0.54,8719585,,0.54,472464.3,,0.54,2010771.8,,1031856.8,370791.7,1097686.4,27495.8,2292204,2453249.5
0.544,2087139,,0.544,8920399,,0.544,470854.2,,0.544,2001308.4,,1045254.2,369815.9,1116531.8,23524.4,2275190.8,2434392.2
0.548,2112353.2,,0.548,8790973,,0.548,468872.9,,0.548,2003057,,1052293.4,368716.9,1111556.4,20452.8,2276564,2427579.5
0.552,2119228.5,,0.552,8983991,,0.552,471594.2,,0.552,1985508.9,,1062540.2,366293.1,1117011.8,18068.5,2276821,2393917.8
0.556,2132658.8,,0.556,9115807,,0.556,469490.3,,0.556,1996070.8,,1047068.4,366745.1,1122894.4,15787.2,2245927.2,2381224.2
0.56,2136506.2,,0.56,9134573,,0.56,470671.2,,0.56,1977294,,1058116.8,364476.8,1127000.6,14093.1,2246928.2,2374798.2
0.564,2141051.2,,0.564,9298149,,0.564,471392.3,,0.564,1966955.1,,1052108.4,364413.9,1122730.5,12649.8,2238229.2,2354688.5
0.568,2157068.5,,0.568,9112530,,0.568,461903.5,,0.568,1954220.6,,1057933.8,364158.8,1129396.4,11274.1,2227840.8,2354156.8
0.572,2146590.2,,0.572,9360947,,0.572,461063,,0.572,1945131.5,,1073170.9,365268.7,1154303.1,10236,2224397.2,2325382.5
0.576,2156714.5,,0.576,9510673,,0.576,458034,,0.576,1936142.8,,1087071.6,363996.2,1125549.1,9416.6,2230089.5,2315365.2
0.58,2171678.8,,0.58,9403341,,0.58,456134.1,,0.58,1930401.9,,1095674.4,364348.7,1143807.8,8423.5,2212714.8,2311079
0.584,2174934,,0.584,9539739,,0.584,452580.7,,0.584,1927151.9,,1060978.6,364170.6,1155165.8,7902.6,2187196,2272850
0.588,2168709,,0.588,9425999,,0.588,450090.8,,0.588,1910348,,1068243,363279.6,1157607,7347.3,2182639.2,2262828.2
0.592,2186314.2,,0.592,9598895,,0.592,448842.2,,0.592,1892676,,1096392.2,364088,1150615.4,6694.6,2172265.5,2253210.5
0.596,2168299.8,,0.596,9584607,,0.596,441374.9,,0.596,1905931.9,,1079666.6,362774.7,1145714,6175.4,2159847,2254291
0.6,2192024.5,,0.6,9714389,,0.6,442398.3,,0.6,1894636.2,,1062679.8,364318.8,1180806.1,5679.5,2149422.5,2228509
0.604,2197176.2,,0.604,9699996,,0.604,441711.1,,0.604,1889808.8,,1089599.5,361833.5,1165385.1,5175.6,2130327.5,2214608.2
0.608,2196672,,0.608,9580725,,0.608,439328.1,,0.608,1876943.1,,1081709.2,362616.1,1157250.6,4835.4,2128427.8,2211285.2
0.612,2197978.8,,0.612,9630999,,0.612,440098.8,,0.612,1883469.5,,1070137.6,359088.9,1159328.1,4457.7,2125459,2173219
0.616,2188537.5,,0.616,9710945,,0.616,437290.8,,0.616,1856901.9,,1122221.9,359979,1168804.2,4371.1,2107403.2,2173958
0.62,2195159.2,,0.62,9875804,,0.62,435930.1,,0.62,1867258.8,,1063215.8,362107.5,1168838.1,4001.2,2096524.1,2146461.2
