No.1		
X[mm]	Z[um]	
0.329700	-0.014558	
0.330400	-0.014558	
0.331100	-0.014558	
0.331800	-0.014558	
0.332500	-0.015060	
0.333200	-0.015562	
0.333900	-0.015562	
0.334600	-0.015562	
0.335300	-0.015562	
0.336000	-0.015060	
0.336700	-0.015060	
0.337400	-0.015060	
0.338100	-0.015562	
0.338800	-0.016064	
0.339500	-0.016566	
0.340200	-0.016566	
0.340900	-0.016566	
0.341600	-0.015562	
0.342300	-0.015060	
0.343000	-0.015060	
0.343700	-0.014558	
0.344400	-0.015060	
0.345100	-0.015562	
0.345800	-0.016064	
0.346500	-0.016566	
0.347200	-0.016064	
0.347900	-0.015562	
0.348600	-0.015562	
0.349300	-0.015562	
0.350000	-0.015562	
0.350700	-0.016064	
0.351400	-0.016566	
0.352100	-0.017068	
0.352800	-0.017570	
0.353500	-0.017068	
0.354200	-0.016064	
0.354900	-0.016064	
0.355600	-0.016064	
0.356300	-0.016566	
0.357000	-0.016566	
0.357700	-0.017570	
0.358400	-0.017570	
0.359100	-0.017570	
0.359800	-0.017068	
0.360500	-0.016064	
0.361200	-0.016064	
0.361900	-0.016064	
0.362600	-0.016566	
0.363300	-0.017068	
0.364000	-0.017068	
0.364700	-0.017068	
0.365400	-0.016064	
0.366100	-0.015562	
0.366800	-0.015562	
0.367500	-0.016566	
0.368200	-0.017068	
0.368900	-0.017570	
0.369600	-0.017570	
0.370300	-0.017068	
0.371000	-0.017068	
0.371700	-0.017068	
0.372400	-0.017068	
0.373100	-0.017570	
0.373800	-0.018072	
0.374500	-0.018072	
0.375200	-0.017570	
0.375900	-0.017570	
0.376600	-0.018072	
0.377300	-0.018072	
0.378000	-0.018574	
0.378700	-0.018072	
0.379400	-0.018072	
0.380100	-0.018072	
0.380800	-0.018072	
0.381500	-0.018072	
0.382200	-0.018574	
0.382900	-0.018574	
0.383600	-0.018574	
0.384300	-0.018072	
0.385000	-0.018072	
0.385700	-0.018072	
0.386400	-0.018072	
0.387100	-0.018072	
0.387800	-0.018072	
0.388500	-0.018574	
0.389200	-0.018574	
0.389900	-0.018574	
0.390600	-0.018574	
0.391300	-0.019076	
0.392000	-0.019578	
0.392700	-0.019578	
0.393400	-0.019076	
0.394100	-0.019578	
0.394800	-0.019578	
0.395500	-0.019578	
0.396200	-0.019076	
0.396900	-0.019076	
0.397600	-0.019076	
0.398300	-0.019578	
0.399000	-0.019578	
0.399700	-0.019578	
0.400400	-0.019076	
0.401100	-0.019076	
0.401800	-0.019076	
0.402500	-0.018574	
0.403200	-0.019076	
0.403900	-0.019076	
0.404600	-0.018574	
0.405300	-0.018574	
0.406000	-0.018574	
0.406700	-0.018574	
0.407400	-0.018574	
0.408100	-0.019076	
0.408800	-0.019076	
0.409500	-0.019076	
0.410200	-0.019076	
0.410900	-0.019076	
0.411600	-0.019076	
0.412300	-0.019578	
0.413000	-0.019076	
0.413700	-0.019578	
0.414400	-0.019578	
0.415100	-0.019578	
0.415800	-0.019578	
0.416500	-0.019578	
0.417200	-0.019578	
0.417900	-0.019076	
0.418600	-0.019076	
0.419300	-0.019076	
0.420000	-0.019076	
0.420700	-0.019076	
0.421400	-0.019578	
0.422100	-0.019076	
0.422800	-0.019076	
0.423500	-0.018574	
0.424200	-0.018072	
0.424900	-0.017570	
0.425600	-0.018072	
0.426300	-0.018574	
0.427000	-0.019076	
0.427700	-0.019076	
0.428400	-0.021586	
0.429100	-0.021084	
0.429800	-0.021586	
0.430500	-0.019578	
0.431200	-0.019076	
0.431900	-0.019578	
0.432600	-0.019578	
0.433300	-0.020080	
0.434000	-0.020080	
0.434700	-0.020080	
0.435400	-0.020080	
0.436100	-0.020080	
0.436800	-0.020582	
0.437500	-0.020582	
0.438200	-0.020582	
0.438900	-0.020582	
0.439600	-0.020582	
0.440300	-0.020582	
0.441000	-0.020582	
0.441700	-0.020582	
0.442400	-0.020582	
0.443100	-0.020582	
0.443800	-0.020582	
0.444500	-0.020080	
0.445200	-0.020080	
0.445900	-0.020080	
0.446600	-0.020080	
0.447300	-0.020080	
0.448000	-0.020582	
0.448700	-0.020582	
0.449400	-0.020582	
0.450100	-0.020582	
0.450800	-0.020582	
0.451500	-0.020080	
0.452200	-0.020582	
0.452900	-0.020582	
0.453600	-0.021084	
0.454300	-0.020582	
0.455000	-0.020582	
0.455700	-0.020080	
0.456400	-0.020080	
0.457100	-0.020080	
0.457800	-0.020080	
0.458500	-0.021084	
0.459200	-0.020582	
0.459900	-0.020582	
0.460600	-0.020582	
0.461300	-0.020080	
0.462000	-0.019578	
0.462700	-0.019076	
0.463400	-0.019076	
0.464100	-0.019578	
0.464800	-0.019578	
0.465500	-0.020080	
0.466200	-0.020080	
0.466900	-0.020080	
0.467600	-0.019578	
0.468300	-0.019578	
0.469000	-0.019578	
0.469700	-0.022590	
0.470400	-0.020080	
0.471100	-0.020582	
0.471800	-0.021084	
0.472500	-0.021084	
0.473200	-0.021084	
0.473900	-0.020582	
0.474600	-0.020582	
0.475300	-0.020582	
0.476000	-0.021084	
0.476700	-0.021586	
0.477400	-0.021586	
0.478100	-0.021586	
0.478800	-0.021084	
0.479500	-0.021084	
0.480200	-0.020582	
0.480900	-0.020582	
0.481600	-0.020582	
0.482300	-0.020582	
0.483000	-0.020582	
0.483700	-0.020582	
0.484400	-0.020582	
0.485100	-0.020080	
0.485800	-0.020080	
0.486500	-0.020080	
0.487200	-0.020080	
0.487900	-0.020080	
0.488600	-0.020080	
0.489300	-0.020080	
0.490000	-0.020582	
0.490700	-0.020582	
0.491400	-0.020582	
0.492100	-0.020080	
0.492800	-0.020080	
0.493500	-0.020582	
0.494200	-0.021084	
0.494900	-0.021084	
0.495600	-0.021586	
0.496300	-0.021586	
0.497000	-0.021586	
0.497700	-0.021084	
0.498400	-0.021586	
0.499100	-0.021586	
0.499800	-0.021586	
0.500500	-0.020582	
0.501200	-0.020582	
0.501900	-0.020582	
0.502600	-0.020582	
0.503300	-0.020582	
0.504000	-0.020582	
0.504700	-0.020080	
0.505400	-0.020080	
0.506100	-0.019578	
0.506800	-0.019578	
0.507500	-0.019578	
0.508200	-0.019578	
0.508900	-0.019578	
0.509600	-0.020080	
0.510300	-0.020582	
0.511000	-0.020080	
0.511700	-0.019578	
0.512400	-0.019578	
0.513100	-0.019578	
0.513800	-0.020080	
0.514500	-0.020080	
0.515200	-0.020080	
0.515900	-0.020080	
0.516600	-0.020080	
0.517300	-0.020080	
0.518000	-0.020080	
0.518700	-0.020080	
0.519400	-0.020080	
0.520100	-0.020080	
0.520800	-0.020080	
0.521500	-0.020080	
0.522200	-0.019578	
0.522900	-0.019578	
0.523600	-0.019076	
0.524300	-0.019076	
0.525000	-0.019578	
0.525700	-0.019578	
0.526400	-0.019578	
0.527100	-0.019578	
0.527800	-0.019578	
0.528500	-0.019578	
0.529200	-0.019578	
0.529900	-0.020080	
0.530600	-0.020582	
0.531300	-0.020080	
0.532000	-0.019578	
0.532700	-0.020080	
0.533400	-0.020080	
0.534100	-0.020080	
0.534800	-0.020080	
0.535500	-0.020080	
0.536200	-0.020080	
0.536900	-0.020080	
0.537600	-0.020080	
0.538300	-0.020080	
0.539000	-0.020582	
0.539700	-0.020582	
0.540400	-0.020582	
0.541100	-0.020582	
0.541800	-0.020080	
0.542500	-0.019076	
0.543200	-0.019076	
0.543900	-0.019076	
0.544600	-0.019076	
0.545300	-0.019578	
0.546000	-0.019578	
0.546700	-0.019578	
0.547400	-0.019578	
0.548100	-0.019076	
0.548800	-0.019076	
0.549500	-0.019578	
0.550200	-0.019578	
0.550900	-0.020582	
0.551600	-0.020582	
0.552300	-0.020080	
0.553000	-0.019578	
0.553700	-0.019076	
0.554400	-0.019578	
0.555100	-0.020080	
0.555800	-0.020582	
0.556500	-0.020582	
0.557200	-0.020582	
0.557900	-0.019578	
0.558600	-0.019578	
0.559300	-0.019578	
0.560000	-0.019076	
0.560700	-0.019578	
0.561400	-0.019578	
0.562100	-0.020080	
0.562800	-0.020080	
0.563500	-0.019578	
0.564200	-0.018574	
0.564900	-0.018072	
0.565600	-0.018072	
0.566300	-0.018574	
0.567000	-0.019076	
