No.1		
X[mm]	Z[um]	
0.154400	0.001004	
0.154800	0.000502	
0.155200	0.001004	
0.155600	0.001004	
0.156000	0.001004	
0.156400	0.001004	
0.156800	0.001004	
0.157200	0.001004	
0.157600	0.001004	
0.158000	0.001506	
0.158400	0.000502	
0.158800	0.001004	
0.159200	0.001004	
0.159600	0.001004	
0.160000	0.001004	
0.160400	0.001004	
0.160800	0.001004	
0.161200	0.001004	
0.161600	0.001004	
0.162000	0.001004	
0.162400	0.001004	
0.162800	0.000502	
0.163200	0.001004	
0.163600	0.001004	
0.164000	0.001506	
0.164400	0.000502	
0.164800	0.001004	
0.165200	0.001004	
0.165600	0.001004	
0.166000	0.001004	
0.166400	0.000502	
0.166800	0.000502	
0.167200	0.000502	
0.167600	0.000502	
0.168000	0.001004	
0.168400	0.000502	
0.168800	0.000502	
0.169200	0.000502	
0.169600	0.001004	
0.170000	0.000502	
0.170400	0.000502	
0.170800	0.000502	
0.171200	0.000502	
0.171600	0.001004	
0.172000	0.000502	
0.172400	0.000502	
0.172800	0.000502	
0.173200	0.001004	
0.173600	0.000502	
0.174000	0.001004	
0.174400	0.001004	
0.174800	0.000502	
0.175200	0.001004	
0.175600	0.001004	
0.176000	0.001004	
0.176400	0.001004	
0.176800	0.001004	
0.177200	0.001004	
0.177600	0.001004	
0.178000	0.001004	
0.178400	0.001004	
0.178800	0.000502	
0.179200	0.001004	
0.179600	0.001004	
0.180000	0.001004	
0.180400	0.001004	
0.180800	0.000502	
0.181200	0.001004	
0.181600	0.000502	
0.182000	0.001004	
0.182400	0.001004	
0.182800	0.000502	
0.183200	0.000502	
0.183600	0.000502	
0.184000	0.000502	
0.184400	0.000502	
0.184800	0.000502	
0.185200	0.000502	
0.185600	0.000502	
0.186000	0.000502	
0.186400	0.000502	
0.186800	0.000000	
0.187200	0.000000	
0.187600	0.000000	
0.188000	0.000502	
0.188400	0.000502	
0.188800	0.000000	
0.189200	0.000000	
0.189600	0.000000	
0.190000	0.000502	
0.190400	0.000502	
0.190800	0.000000	
0.191200	0.000000	
0.191600	0.000502	
0.192000	0.000502	
0.192400	0.000502	
0.192800	0.000000	
0.193200	0.000000	
0.193600	0.000502	
0.194000	0.000502	
0.194400	0.000502	
0.194800	0.000000	
0.195200	0.000502	
0.195600	0.000502	
0.196000	0.000502	
0.196400	0.000502	
0.196800	0.000502	
