No.1		
X[mm]	Z[um]	
0.171600	0.495474	
0.172900	0.495474	
0.174200	0.494972	
0.175500	0.494972	
0.176800	0.493968	
0.178100	0.493968	
0.179400	0.493968	
0.180700	0.493968	
0.182000	0.492964	
0.183300	0.492964	
0.184600	0.492964	
0.185900	0.492964	
0.187200	0.491960	
0.188500	0.491960	
0.189800	0.491960	
0.191100	0.491960	
0.192400	0.491458	
0.193700	0.491458	
0.195000	0.491458	
0.196300	0.491458	
0.197600	0.490956	
0.198900	0.490956	
0.200200	0.490956	
0.201500	0.490454	
0.202800	0.490956	
0.204100	0.489952	
0.205400	0.489952	
0.206700	0.489450	
0.208000	0.489450	
0.209300	0.488948	
0.210600	0.488948	
0.211900	0.488446	
0.213200	0.488446	
0.214500	0.487442	
0.215800	0.487442	
0.217100	0.487442	
0.218400	0.487442	
0.219700	0.486940	
0.221000	0.486940	
0.222300	0.486940	
0.223600	0.486438	
0.224900	0.486438	
0.226200	0.485936	
0.227500	0.485434	
0.228800	0.485434	
0.230100	0.485936	
0.231400	0.485434	
0.232700	0.485434	
0.234000	0.485434	
0.235300	0.484932	
0.236600	0.484430	
0.237900	0.484430	
0.239200	0.484430	
0.240500	0.484430	
0.241800	0.484430	
0.243100	0.483928	
0.244400	0.483928	
0.245700	0.483928	
0.247000	0.483426	
0.248300	0.483426	
0.249600	0.483426	
0.250900	0.483426	
0.252200	0.482924	
0.253500	0.482422	
0.254800	0.482924	
0.256100	0.482422	
0.257400	0.482422	
0.258700	0.481920	
0.260000	0.481920	
0.261300	0.481920	
0.262600	0.481418	
0.263900	0.480414	
0.265200	0.480414	
0.266500	0.480414	
0.267800	0.479912	
0.269100	0.478908	
0.270400	0.478406	
0.271700	0.478406	
0.273000	0.477904	
0.274300	0.477402	
0.275600	0.476900	
0.276900	0.476900	
0.278200	0.476398	
0.279500	0.476398	
0.280800	0.475896	
0.282100	0.475394	
0.283400	0.475394	
0.284700	0.475394	
0.286000	0.474892	
0.287300	0.474390	
0.288600	0.474390	
0.289900	0.474390	
0.291200	0.473888	
0.292500	0.473888	
0.293800	0.473386	
0.295100	0.473386	
0.296400	0.472884	
0.297700	0.472382	
0.299000	0.472382	
0.300300	0.471880	
0.301600	0.471378	
